Slip angle;Lateral force
-20,0;-3556,84
-19,9;-3557,93
-19,8;-3559,03
-19,7;-3560,13
-19,6;-3561,24
-19,5;-3562,35
-19,4;-3563,47
-19,3;-3564,60
-19,2;-3565,73
-19,1;-3566,86
-19,0;-3568,01
-18,9;-3569,15
-18,8;-3570,30
-18,7;-3571,46
-18,6;-3572,62
-18,5;-3573,79
-18,4;-3574,96
-18,3;-3576,14
-18,2;-3577,32
-18,1;-3578,51
-18,0;-3579,70
-17,9;-3580,90
-17,8;-3582,10
-17,7;-3583,30
-17,6;-3584,51
-17,5;-3585,72
-17,4;-3586,94
-17,3;-3588,16
-17,2;-3589,39
-17,1;-3590,62
-17,0;-3591,85
-16,9;-3593,08
-16,8;-3594,32
-16,7;-3595,56
-16,6;-3596,81
-16,5;-3598,06
-16,4;-3599,30
-16,3;-3600,56
-16,2;-3601,81
-16,1;-3603,06
-16,0;-3604,32
-15,9;-3605,58
-15,8;-3606,83
-15,7;-3608,09
-15,6;-3609,35
-15,5;-3610,61
-15,4;-3611,87
-15,3;-3613,12
-15,2;-3614,38
-15,1;-3615,63
-15,0;-3616,88
-14,9;-3618,13
-14,8;-3619,37
-14,7;-3620,61
-14,6;-3621,85
-14,5;-3623,08
-14,4;-3624,30
-14,3;-3625,52
-14,2;-3626,73
-14,1;-3627,94
-14,0;-3629,13
-13,9;-3630,32
-13,8;-3631,50
-13,7;-3632,66
-13,6;-3633,82
-13,5;-3634,96
-13,4;-3636,08
-13,3;-3637,20
-13,2;-3638,29
-13,1;-3639,37
-13,0;-3640,43
-12,9;-3641,47
-12,8;-3642,49
-12,7;-3643,49
-12,6;-3644,46
-12,5;-3645,41
-12,4;-3646,33
-12,3;-3647,22
-12,2;-3648,08
-12,1;-3648,91
-12,0;-3649,70
-11,9;-3650,46
-11,8;-3651,17
-11,7;-3651,85
-11,6;-3652,48
-11,5;-3653,06
-11,4;-3653,60
-11,3;-3654,08
-11,2;-3654,51
-11,1;-3654,89
-11,0;-3655,20
-10,9;-3655,44
-10,8;-3655,62
-10,7;-3655,72
-10,6;-3655,75
-10,5;-3655,70
-10,4;-3655,56
-10,3;-3655,33
-10,2;-3655,01
-10,1;-3654,59
-10,0;-3654,06
-9,9;-3653,43
