Slip ratio;Longitudinal force
-2,0;-2833,61
-2,0;-2834,85
-2,0;-2836,10
-2,0;-2837,36
-2,0;-2838,64
-2,0;-2839,92
-1,9;-2841,22
-1,9;-2842,53
-1,9;-2843,85
-1,9;-2845,18
-1,9;-2846,52
-1,9;-2847,88
-1,9;-2849,25
-1,9;-2850,64
-1,9;-2852,03
-1,9;-2853,44
-1,8;-2854,87
-1,8;-2856,31
-1,8;-2857,76
-1,8;-2859,23
-1,8;-2860,71
-1,8;-2862,20
-1,8;-2863,71
-1,8;-2865,24
-1,8;-2866,78
-1,8;-2868,34
-1,7;-2869,91
-1,7;-2871,50
-1,7;-2873,10
-1,7;-2874,73
-1,7;-2876,37
-1,7;-2878,02
-1,7;-2879,69
-1,7;-2881,38
-1,7;-2883,09
-1,7;-2884,82
-1,6;-2886,57
-1,6;-2888,33
-1,6;-2890,11
-1,6;-2891,91
-1,6;-2893,74
-1,6;-2895,58
-1,6;-2897,44
-1,6;-2899,32
-1,6;-2901,23
-1,6;-2903,15
-1,5;-2905,10
-1,5;-2907,07
-1,5;-2909,06
-1,5;-2911,08
-1,5;-2913,12
-1,5;-2915,18
-1,5;-2917,26
-1,5;-2919,38
-1,5;-2921,51
-1,5;-2923,67
-1,4;-2925,86
-1,4;-2928,07
-1,4;-2930,31
-1,4;-2932,58
-1,4;-2934,87
-1,4;-2937,20
-1,4;-2939,55
-1,4;-2941,93
-1,4;-2944,34
-1,4;-2946,78
-1,3;-2949,25
-1,3;-2951,76
-1,3;-2954,30
-1,3;-2956,86
-1,3;-2959,47
-1,3;-2962,10
-1,3;-2964,78
-1,3;-2967,48
-1,3;-2970,23
-1,3;-2973,01
-1,2;-2975,82
-1,2;-2978,68
-1,2;-2981,58
-1,2;-2984,51
-1,2;-2987,49
-1,2;-2990,51
-1,2;-2993,57
-1,2;-2996,67
-1,2;-2999,82
-1,2;-3003,01
-1,1;-3006,25
-1,1;-3009,54
-1,1;-3012,87
-1,1;-3016,26
-1,1;-3019,69
-1,1;-3023,18
-1,1;-3026,72
-1,1;-3030,31
-1,1;-3033,96
-1,1;-3037,67
-1,0;-3041,43
-1,0;-3045,25
-1,0;-3049,14
-1,0;-3053,08
-1,0;-3057,09
-1,0;-3061,16
-1,0;-3065,30
-1,0;-3069,50
-1,0;-3073,78
-1,0;-3078,13
-0,9;-3082,55
-0,9;-3087,04
-0,9;-3091,62
-0,9;-3096,27
-0,9;-3101,00
-0,9;-3105,81
-0,9;-3110,71
-0,9;-3115,70
-0,9;-3120,78
-0,9;-3125,95
-0,8;-3131,21
-0,8;-3136,57
-0,8;-3142,03
-0,8;-3147,59
-0,8;-3153,26
-0,8;-3159,03
-0,8;-3164,92
